Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4",0603,3,10u,
"C2, C5",0603,2,0.1u,
D1,0603,1,Status,
IC1,XCL103D503CRG,1,XCL102D333CR-G,
J1,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,1,Conn_LED_1,
J2,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,1,Conn_LED_2,
J3,Molex_PicoBlade_53047-0310_1x03_P1.25mm_Vertical,1,Conn_Servo,
J4,Serial,1,Conn_USB,
Q3,SOT23,1,IRLML6402,
"R1, R4, R7",0603,3,10k,
"R2, R3",0603,2,300,
R5,0603,1,1k,
R6,0603,1,20k,
U1,SON50P300X200X80-13N,1,DRV8835DSST,
U2,FCI_SFV12R-2STE1LF,1,SFV12R-2STE1LF,SFV12R-2STE1LF
U3,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
