Designator,Mid X,Mid Y,Rotation,Layer
C1,139.287,-86.1526,270.0,top
C2,141.8524,-82.368,0.0,top
C3,138.7028,-82.0632,270.0,top
C4,141.8524,-83.8412,0.0,top
C5,147.0875,-82.4696,0.0,top
D1,144.494,-81.86,90.0,top
IC1,142.2356,-86.26195,0.0,top
J1,141.5884,-92.0,0.0,top
J2,136.275,-92.0,0.0,top
J3,147.0,-89.75,90.0,top
J4,139.0,-68.0,0.0,bottom
Q3,135.7056,-82.1648,90.0,top
R1,142.6633,-88.6926,0.0,top
R2,136.0593,-88.6926,180.0,top
R3,139.3613,-88.6926,0.0,top
R4,147.0875,-83.9936,180.0,top
R5,147.0875,-80.971,0.0,top
R6,147.0875,-85.5176,0.0,top
R7,141.8524,-80.8948,180.0,top
U1,136.5692,-85.9628,0.0,top
U2,135.4409,-86.2796,90.0,top
U3,139.0,-72.9986,0.0,top
